Date,ggbr,itub,rapt,romi,Wweg,ibov
2020-01-02,14.80837631225586,33.50861740112305,11.992504119873047,8.701665878295898,16.768705368041992,118573.0
2020-01-03,14.565847396850586,33.156185150146484,12.06798267364502,8.590625762939453,16.5545711517334,117707.0
2020-01-06,14.530180931091309,32.662750244140625,11.933798789978027,8.535104751586914,16.5974063873291,116878.0
2020-01-07,14.758441925048828,31.90500259399414,12.06798267364502,8.424059867858887,16.72587776184082,116662.0
2020-01-08,14.815505981445312,31.385162353515625,11.967347145080566,8.731950759887695,16.09300994873047,116247.0
2020-01-09,14.737039566040039,30.75958251953125,12.319572448730469,8.711760520935059,15.855086326599121,115947.0
2020-01-10,14.936769485473633,30.48641014099121,12.18539047241211,8.974225997924805,16.17865753173828,115503.0
2020-01-13,15.578749656677246,30.891740798950195,12.07636833190918,9.317445755004883,16.330928802490234,117325.0
2020-01-14,15.279158592224121,30.891740798950195,12.210549354553223,9.357824325561523,16.654499053955078,117632.0
2020-01-15,15.05090045928955,30.512868881225586,12.08475399017334,9.080220222473145,16.763944625854492,116414.0
2020-01-16,15.193563461303711,30.57453155517578,11.900254249572754,9.060029983520508,17.068479537963867,116704.0
2020-01-17,15.38615608215332,30.785999298095703,12.504073143005371,9.140788078308105,17.511016845703125,118478.0
2020-01-20,15.885473251342773,30.1604061126709,12.512458801269531,9.186213493347168,18.04871940612793,118862.0
2020-01-21,15.550219535827637,29.517200469970703,12.403434753417969,9.33763313293457,17.83934783935547,117026.0
2020-01-22,15.742810249328613,29.693418502807617,12.462141990661621,9.38810920715332,18.51029396057129,118391.0
2020-01-23,15.80700969696045,30.39830207824707,12.487300872802734,9.312397956848145,18.867172241210938,119528.0
2020-01-24,15.457487106323242,30.169225692749023,12.18539047241211,9.357824325561523,19.71417808532715,118376.0
2020-01-27,14.230588912963867,29.517200469970703,11.573186874389648,9.049934387207031,19.495290756225586,114482.0
2020-01-28,14.408916473388672,29.50840187072754,11.992504119873047,9.04488754272461,19.990161895751953,116479.0
2020-01-29,14.366117477416992,29.050220489501953,11.757686614990234,9.049934387207031,20.170984268188477,115385.0
2020-01-30,14.794105529785156,29.473154067993164,11.657049179077148,8.782424926757812,19.495290756225586,115528.0
2020-01-31,14.301918983459473,28.918054580688477,11.405460357666016,8.333209037780762,18.75296974182129,113761.0
2020-02-03,14.658576011657715,29.001787185668945,11.942187309265137,8.605766296386719,19.352529525756836,114629.0
